[Thu Feb 27 01:41:29.427973 2020] [php7:emerg] [pid 6952] [client 192.168.20.16:62385] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO) in /home/bnhfijvh-m2/reg.php on line 34
[Thu Feb 27 01:41:31.004213 2020] [php7:emerg] [pid 6953] [client 192.168.20.16:62384] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO) in /home/bnhfijvh-m2/reg.php on line 34
[Thu Feb 27 01:41:31.483953 2020] [php7:emerg] [pid 6954] [client 192.168.20.16:62386] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO) in /home/bnhfijvh-m2/reg.php on line 34
[Thu Feb 27 01:41:31.651152 2020] [php7:emerg] [pid 6955] [client 192.168.20.16:62387] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO) in /home/bnhfijvh-m2/reg.php on line 34
[Thu Feb 27 01:41:31.827837 2020] [php7:emerg] [pid 6956] [client 192.168.20.16:62388] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO) in /home/bnhfijvh-m2/reg.php on line 34
[Thu Feb 27 01:41:31.987019 2020] [php7:emerg] [pid 6957] [client 192.168.20.16:62389] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO) in /home/bnhfijvh-m2/reg.php on line 34
[Thu Feb 27 01:41:32.163697 2020] [php7:emerg] [pid 6958] [client 192.168.20.16:62390] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO) in /home/bnhfijvh-m2/reg.php on line 34
[Thu Feb 27 01:41:45.130193 2020] [php7:emerg] [pid 6961] [client 192.168.20.16:62394] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO) in /home/bnhfijvh-m2/reg.php on line 35
[Thu Feb 27 01:46:34.653612 2020] [php7:notice] [pid 7531] [client 192.168.20.16:62411] PHP Notice:  Undefined variable: phone in /home/bnhfijvh-m2/reg.php on line 33, referer: http://bnhfijvh-m2.wsr.ru/reg.php
[Thu Feb 27 01:46:49.019473 2020] [php7:emerg] [pid 7533] [client 192.168.20.16:62413] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO), expecting ',' or ';' in /home/bnhfijvh-m2/reg.php on line 32, referer: http://bnhfijvh-m2.wsr.ru/reg.php
[Thu Feb 27 01:46:54.949093 2020] [php7:notice] [pid 7542] [client 192.168.20.16:62414] PHP Notice:  Undefined variable: phone in /home/bnhfijvh-m2/reg.php on line 34, referer: http://bnhfijvh-m2.wsr.ru/reg.php
[Thu Feb 27 01:47:47.037343 2020] [php7:notice] [pid 7664] [client 192.168.20.16:62423] PHP Notice:  Undefined variable: phone in /home/bnhfijvh-m2/reg.php on line 34, referer: http://bnhfijvh-m2.wsr.ru/reg.php
[Thu Feb 27 01:48:11.052706 2020] [php7:notice] [pid 7779] [client 192.168.20.16:62428] PHP Notice:  Undefined variable: phone in /home/bnhfijvh-m2/reg.php on line 34, referer: http://bnhfijvh-m2.wsr.ru/reg.php
[Thu Feb 27 01:48:43.629873 2020] [php7:notice] [pid 7785] [client 192.168.20.16:62431] PHP Notice:  Undefined variable: phone in /home/bnhfijvh-m2/reg.php on line 34, referer: http://bnhfijvh-m2.wsr.ru/reg.php
[Thu Feb 27 01:49:50.949943 2020] [php7:notice] [pid 7907] [client 192.168.20.16:62441] PHP Notice:  Undefined variable: phone in /home/bnhfijvh-m2/reg.php on line 34, referer: http://bnhfijvh-m2.wsr.ru/reg.php
[Thu Feb 27 01:49:58.906691 2020] [php7:notice] [pid 7910] [client 192.168.20.16:62442] PHP Notice:  Undefined variable: phone in /home/bnhfijvh-m2/reg.php on line 34, referer: http://bnhfijvh-m2.wsr.ru/reg.php
[Thu Feb 27 01:50:06.893314 2020] [php7:notice] [pid 8020] [client 192.168.20.16:62445] PHP Notice:  Undefined variable: phone in /home/bnhfijvh-m2/reg.php on line 34, referer: http://bnhfijvh-m2.wsr.ru/reg.php
[Thu Feb 27 01:50:18.922763 2020] [php7:notice] [pid 8023] [client 192.168.20.16:62451] PHP Notice:  Undefined variable: phone in /home/bnhfijvh-m2/reg.php on line 34, referer: http://bnhfijvh-m2.wsr.ru/reg.php
[Thu Feb 27 01:50:48.853935 2020] [php7:error] [pid 8029] [client 192.168.20.16:62454] script '/home/bnhfijvh-m2/auth.php' not found or unable to stat, referer: http://bnhfijvh-m2.wsr.ru/reg.php
[Thu Feb 27 01:56:11.316686 2020] [php7:notice] [pid 8703] [client 192.168.20.16:62460] PHP Notice:  session_start(): A session had already been started - ignoring in /home/bnhfijvh-m2/db.php on line 7, referer: http://bnhfijvh-m2.wsr.ru/auth.php
[Thu Feb 27 01:56:15.568393 2020] [php7:notice] [pid 8703] [client 192.168.20.16:62460] PHP Notice:  session_start(): A session had already been started - ignoring in /home/bnhfijvh-m2/db.php on line 7, referer: http://bnhfijvh-m2.wsr.ru/auth.php
[Thu Feb 27 01:56:17.303325 2020] [php7:error] [pid 8703] [client 192.168.20.16:62460] script '/home/bnhfijvh-m2/cabinet.php' not found or unable to stat, referer: http://bnhfijvh-m2.wsr.ru/auth.php
[Thu Feb 27 01:58:35.977774 2020] [php7:notice] [pid 8923] [client 192.168.20.16:62462] PHP Notice:  session_start(): A session had already been started - ignoring in /home/bnhfijvh-m2/db.php on line 7, referer: http://bnhfijvh-m2.wsr.ru/auth.php
[Thu Feb 27 01:58:38.654119 2020] [php7:error] [pid 8923] [client 192.168.20.16:62462] script '/home/bnhfijvh-m2/changePass.php' not found or unable to stat, referer: http://bnhfijvh-m2.wsr.ru/cabinet.php
[Thu Feb 27 02:01:21.550568 2020] [php7:notice] [pid 9261] [client 192.168.20.16:62465] PHP Notice:  session_start(): A session had already been started - ignoring in /home/bnhfijvh-m2/db.php on line 7, referer: http://bnhfijvh-m2.wsr.ru/cabinet.php
